# STN;HH;YYYYMMDD;T
260;20;20230225;-1
260;21;20230225;-10
260;22;20230225;-6
260;23;20230225;-18
260;24;20230225;-14
260;1;20230226;20
260;2;20230226;14
260;3;20230226;8
260;4;20230226;6
260;5;20230226;-2
260;6;20230226;-14
260;7;20230226;-4
260;8;20230226;12
260;9;20230226;25
260;10;20230226;38
260;11;20230226;47
260;12;20230226;48
260;13;20230226;56
260;14;20230226;59
260;15;20230226;63
260;16;20230226;58
260;17;20230226;47
260;18;20230226;37
260;19;20230226;28
260;20;20230226;20
260;21;20230226;14
260;22;20230226;14
260;23;20230226;9
260;24;20230226;-12
260;1;20230227;-21
260;2;20230227;-27
260;3;20230227;-33
260;4;20230227;-13
260;5;20230227;-34
260;6;20230227;-42
260;7;20230227;-34
260;8;20230227;12
260;9;20230227;33
260;10;20230227;47
260;11;20230227;48
