# STN;YYYYMMDD;HH;T
260;20180120;15;34
260;20180120;16;33
260;20180120;17;28
260;20180120;18;21
260;20180120;19;17
260;20180120;20;18
260;20180120;21;27
260;20180120;22;27
260;20180120;23;25
260;20180120;24;15
260;20180121;1;-3
260;20180121;2;16
260;20180121;3;18
260;20180121;4;11
260;20180121;5;6
260;20180121;6;11
260;20180121;7;11
260;20180121;8;3
260;20180121;9;29
260;20180121;10;47
260;20180121;11;51
260;20180121;12;62
260;20180121;13;66
260;20180121;14;59
260;20180121;15;53
260;20180121;16;45
260;20180121;17;36
260;20180121;18;34
260;20180121;19;33
260;20180121;20;33
260;20180121;21;33
260;20180121;22;28
260;20180121;23;23
260;20180121;24;20
260;20180122;1;22
260;20180122;2;24
260;20180122;3;26
260;20180122;4;29
260;20180122;5;36
260;20180122;6;54
260;20180122;7;64
260;20180122;8;68
260;20180122;9;70
260;20180122;10;72
260;20180122;11;76
260;20180122;12;83
260;20180122;13;83
260;20180122;14;82
260;20180122;15;78
260;20180122;16;75
260;20180122;17;71
260;20180122;18;69
260;20180122;19;68
260;20180122;20;72
260;20180122;21;73
260;20180122;22;74
260;20180122;23;68
260;20180122;24;71
260;20180123;1;60
260;20180123;2;53
260;20180123;3;62
260;20180123;4;55
260;20180123;5;51
260;20180123;6;58
260;20180123;7;64
260;20180123;8;68
260;20180123;9;71
260;20180123;10;76
260;20180123;11;84
260;20180123;12;94
260;20180123;13;94
260;20180123;14;84
260;20180123;15;85
260;20180123;16;84
260;20180123;17;88
260;20180123;18;91
260;20180123;19;96
260;20180123;20;99
260;20180123;21;101
260;20180123;22;105
260;20180123;23;106
260;20180123;24;112
260;20180124;1;114
260;20180124;2;114
260;20180124;3;115
260;20180124;4;115
260;20180124;5;119
260;20180124;6;123
260;20180124;7;122
260;20180124;8;124
260;20180124;9;124
260;20180124;10;129
260;20180124;11;135
260;20180124;12;140
260;20180124;13;144
260;20180124;14;140
260;20180124;15;136
260;20180124;16;134
260;20180124;17;132
260;20180124;18;131
260;20180124;19;127
260;20180124;20;85
260;20180124;21;76
260;20180124;22;73
260;20180124;23;77
260;20180124;24;77
260;20180125;1;76
260;20180125;2;77
260;20180125;3;72
260;20180125;4;74
260;20180125;5;73
260;20180125;6;75
260;20180125;7;76
260;20180125;8;75
260;20180125;9;76
260;20180125;10;78
260;20180125;11;81
260;20180125;12;88
260;20180125;13;90
260;20180125;14;91
260;20180125;15;90
260;20180125;16;87
260;20180125;17;83
260;20180125;18;79
260;20180125;19;75
260;20180125;20;71
260;20180125;21;68
260;20180125;22;69
260;20180125;23;66
260;20180125;24;50
260;20180126;1;44
260;20180126;2;36
260;20180126;3;37
260;20180126;4;32
260;20180126;5;43
260;20180126;6;44
260;20180126;7;45
260;20180126;8;42
260;20180126;9;43
260;20180126;10;45
260;20180126;11;61
260;20180126;12;72
260;20180126;13;79
260;20180126;14;76
260;20180126;15;73
260;20180126;16;64
260;20180126;17;55
260;20180126;18;58
260;20180126;19;58
260;20180126;20;59
260;20180126;21;57
260;20180126;22;57
260;20180126;23;56
260;20180126;24;56
260;20180127;1;58
260;20180127;2;54
260;20180127;3;50
260;20180127;4;52
260;20180127;5;53
260;20180127;6;54
260;20180127;7;55
260;20180127;8;57
260;20180127;9;58
260;20180127;10;59
260;20180127;11;63
260;20180127;12;64
260;20180127;13;69
260;20180127;14;66
260;20180127;15;61
260;20180127;16;58
260;20180127;17;57
260;20180127;18;55
260;20180127;19;54
260;20180127;20;54
260;20180127;21;53
260;20180127;22;60
260;20180127;23;65
260;20180127;24;69
260;20180128;1;71
260;20180128;2;76
260;20180128;3;77
260;20180128;4;85
260;20180128;5;93
260;20180128;6;96
260;20180128;7;94
260;20180128;8;94
260;20180128;9;91
260;20180128;10;98
260;20180128;11;103
260;20180128;12;105
260;20180128;13;106
260;20180128;14;104
260;20180128;15;105
260;20180128;16;103
260;20180128;17;102
260;20180128;18;102
260;20180128;19;103
260;20180128;20;104
260;20180128;21;104
260;20180128;22;105
260;20180128;23;105
260;20180128;24;106
260;20180129;1;104
260;20180129;2;101
260;20180129;3;101
260;20180129;4;100
260;20180129;5;98
260;20180129;6;98
260;20180129;7;97
260;20180129;8;100
260;20180129;9;100
260;20180129;10;102
260;20180129;11;103
260;20180129;12;105
260;20180129;13;105
260;20180129;14;107
260;20180129;15;94
260;20180129;16;94
260;20180129;17;84
260;20180129;18;74
260;20180129;19;69
260;20180129;20;65
260;20180129;21;58
260;20180129;22;51
260;20180129;23;49
260;20180129;24;47
260;20180130;1;48
260;20180130;2;34
260;20180130;3;36
260;20180130;4;36
260;20180130;5;39
260;20180130;6;43
260;20180130;7;34
260;20180130;8;38
260;20180130;9;53
260;20180130;10;57
260;20180130;11;63
260;20180130;12;72
260;20180130;13;71
260;20180130;14;72
260;20180130;15;73
260;20180130;16;62
260;20180130;17;46
260;20180130;18;39
260;20180130;19;37
260;20180130;20;36
260;20180130;21;27
260;20180130;22;21
260;20180130;23;34
260;20180130;24;45
260;20180131;1;55
260;20180131;2;58
260;20180131;3;78
260;20180131;4;92
260;20180131;5;93
260;20180131;6;95
260;20180131;7;91
260;20180131;8;90
260;20180131;9;91
260;20180131;10;85
260;20180131;11;78
260;20180131;12;75
260;20180131;13;79
260;20180131;14;59
260;20180131;15;56
260;20180131;16;54
260;20180131;17;52
260;20180131;18;51
260;20180131;19;42
260;20180131;20;33
260;20180131;21;40
260;20180131;22;42
260;20180131;23;36
260;20180131;24;38
260;20180201;1;38
260;20180201;2;29
260;20180201;3;29
260;20180201;4;31
260;20180201;5;27
260;20180201;6;20
260;20180201;7;21
260;20180201;8;20
260;20180201;9;27
260;20180201;10;30
260;20180201;11;26
260;20180201;12;24
260;20180201;13;51
260;20180201;14;55
260;20180201;15;57
260;20180201;16;51
260;20180201;17;41
260;20180201;18;41
260;20180201;19;33
260;20180201;20;30
260;20180201;21;38
260;20180201;22;36
260;20180201;23;36
260;20180201;24;34
260;20180202;1;35
260;20180202;2;44
260;20180202;3;53
260;20180202;4;49
260;20180202;5;46
260;20180202;6;48
260;20180202;7;48
260;20180202;8;42
260;20180202;9;46
260;20180202;10;56
260;20180202;11;50
260;20180202;12;58
260;20180202;13;67
260;20180202;14;65
260;20180202;15;55
260;20180202;16;54
260;20180202;17;50
260;20180202;18;46
260;20180202;19;45
260;20180202;20;41
260;20180202;21;36
260;20180202;22;29
260;20180202;23;4
260;20180202;24;-3
260;20180203;1;6
260;20180203;2;17
260;20180203;3;-1
260;20180203;4;6
260;20180203;5;16
260;20180203;6;17
260;20180203;7;28
260;20180203;8;31
260;20180203;9;22
260;20180203;10;29
260;20180203;11;38
260;20180203;12;38
260;20180203;13;35
260;20180203;14;34
260;20180203;15;34
260;20180203;16;32
260;20180203;17;30
260;20180203;18;30
260;20180203;19;14
260;20180203;20;11
260;20180203;21;8
260;20180203;22;9
260;20180203;23;6
260;20180203;24;-1
260;20180204;1;-3
260;20180204;2;-2
260;20180204;3;0
260;20180204;4;2
260;20180204;5;5
260;20180204;6;7
260;20180204;7;6
260;20180204;8;9
260;20180204;9;23
260;20180204;10;23
260;20180204;11;24
260;20180204;12;22
260;20180204;13;31
260;20180204;14;30
260;20180204;15;28
260;20180204;16;24
260;20180204;17;23
260;20180204;18;23
260;20180204;19;24
260;20180204;20;23
260;20180204;21;19
260;20180204;22;19
260;20180204;23;19
260;20180204;24;19
260;20180205;1;19
260;20180205;2;19
260;20180205;3;18
260;20180205;4;12
260;20180205;5;14
260;20180205;6;14
260;20180205;7;11
260;20180205;8;13
260;20180205;9;17
260;20180205;10;20
260;20180205;11;24
260;20180205;12;29
260;20180205;13;27
260;20180205;14;32
260;20180205;15;27
260;20180205;16;18
260;20180205;17;7
260;20180205;18;1
260;20180205;19;-4
260;20180205;20;-6
260;20180205;21;-14
260;20180205;22;-18
260;20180205;23;-20
260;20180205;24;-19
260;20180206;1;-25
260;20180206;2;-31
260;20180206;3;-33
260;20180206;4;-38
260;20180206;5;-41
260;20180206;6;-42
